NNSE,NmKGE,NnpKGE,mean_NmKGE,split_NNSE,split_NmKGE,split_NnpKGE,split_mean_NmKGE
2.990455217905046,3.2382092914091127,3.583968274929986,2.401323635449312,2.4780559218138003,3.538372159077669,5.364210088794035,3.769181111860333
64.98961681776443,70.41777000987148,77.26936457243457,40.27455602424492,53.817562775904385,76.71037178724643,114.34615163900752,81.71190243358993
141.21443941931412,154.24381596094904,155.05033117197314,91.36412676671536,116.10909219230065,163.0439858079511,203.82596042137342,174.2861224522678
308.6613755840059,337.4109028733807,344.46889909665254,221.72395346150947,254.68546039710748,356.06835256064704,449.5653907180071,380.24959322662517
387.9812325967825,427.12337313998603,412.64162833412655,279.28119349076746,320.3946868964781,439.70986320547684,470.4378380800957,469.479893197247
362.3376322037692,401.63026277081843,386.0960509435543,247.59503755293608,303.378491656171,404.9345123215246,377.93178730823223,429.2730774656674
287.553197709167,319.80428941038707,324.4359089135661,180.95696077424932,249.56360780168936,320.8338489673016,278.5418505819348,331.6415482268508
220.06000581921825,243.61667400294922,273.2140394796104,123.76642237303304,202.63022688189608,250.03798136418953,224.70897176685546,244.89709337462378
307.5378492413963,334.5496020582171,395.3458079261176,170.6991387888089,282.28590070216325,361.77684975149805,437.04777883422355,352.0853689172259
327.9565892860101,356.3267081450656,394.2658193662492,181.01391039958648,301.6061715188246,382.80719993869,404.7222685603058,366.5623158348289
298.9263840973909,324.3972336960824,356.99798028590584,153.9502500339858,280.7241684856088,346.62289942293427,339.5597624728701,321.89157735554187
246.89127916192461,266.4170630457543,303.2916637421488,115.49106536592575,241.8187540166196,286.6458134220822,270.8185551051493,252.02953379554586
202.31052504681946,215.6506258466525,259.41722571072194,84.4863573303175,208.888112299176,237.27429533358801,230.26281996985438,193.7298767863245
169.949526164657,178.11643935305486,223.4356100736408,63.37015288173111,184.64613965447558,201.49583075445148,202.43993826865002,151.26992388164416
147.5696108706212,151.83381908540505,193.76394812766623,50.08684460103041,167.02463722299564,175.76662729243264,180.88893887843753,121.63896040911027
162.5923267133139,166.47035019264985,206.15872386155334,42.07571990475922,179.11766454815668,192.70285719088608,218.13210357615955,139.47450188620923
302.7381778844804,317.2601118056307,361.80847734545097,90.4721358141902,293.72807139952965,354.68894429924757,452.2839710065704,313.2321644776959
389.32805025583366,413.33669814227466,428.0632188151503,161.1773287568416,361.9517591274087,445.15391767188265,495.2166019138493,413.7985182745296
412.31495799375,440.48786922379537,443.3793294607814,193.1844933391487,380.285871965142,463.1994261693282,473.05653631844785,436.8624490207598
351.4005740046846,375.3570551626737,376.81743760198765,160.8327645336706,332.36913190174704,388.0124585399203,351.93521781225525,358.0548055991699
286.3827644700244,303.2238421282082,322.3257587761059,121.885617210046,283.5414141867518,315.09990539221366,287.39081681796665,278.02986694623405
236.1609356366775,246.11859099124152,277.63466063482144,91.61908595928128,246.33720908144304,260.99791794226417,247.49082853652777,216.4720435812624
200.93500579902542,205.37587278666103,240.77909858425662,71.30511932781991,219.62370700602523,222.93189644285025,218.9572610836502,172.7019515178392
244.84660453988414,250.49411752509587,293.0621719959689,58.59932539641825,256.73466166425624,276.1669214420259,319.80232261689287,227.32875180603136
431.852997749944,451.9234305836892,499.9578389215651,189.27338262690216,410.22123842628304,492.5740460900023,617.4716509259832,457.34010673811565
638.9093062800061,678.8417565300198,704.7764231749103,367.78600017049394,578.2627999493399,722.7538412807332,844.1679262784709,705.0392635886609
621.9334044346114,665.655254814991,650.1850313349333,356.43808678466434,562.811395872969,686.3845912088449,660.453945449296,670.55370448787
522.2026277132209,558.4384831213539,560.227033966051,276.557598754939,486.48031873850556,568.0332811896285,509.38873062722575,543.3009717255229
469.2975463070856,497.9425494728957,536.1938081633792,224.62000340123714,451.9446768802298,514.3462560933349,502.07772626721396,478.64841797698864
393.84125302011535,412.9814331002957,458.98516236294404,170.3146977599276,396.2947732985769,431.94590389676875,408.6643917282792,382.6013258260887
