NmKGE_cmd,Log(CMD),Wet Threshold,Dry Threshold
358.7406504,2.554780591,2.535581621,2.847262721
361.078788,2.557601976,2.535581621,2.847262721
363.6307112,2.560660555,2.535581621,2.847262721
365.3244897,2.562678786,2.535581621,2.847262721
369.6813936,2.567827593,2.535581621,2.847262721
374.3226693,2.573246129,2.535581621,2.847262721
379.5672779,2.579288765,2.535581621,2.847262721
383.4154572,2.583669617,2.535581621,2.847262721
387.7552714,2.588557711,2.535581621,2.847262721
393.5382725,2.594986975,2.535581621,2.847262721
399.6441995,2.601673514,2.535581621,2.847262721
404.3516463,2.606759216,2.535581621,2.847262721
408.8996095,2.611616696,2.535581621,2.847262721
408.0967223,2.610763107,2.535581621,2.847262721
411.0650126,2.613910514,2.535581621,2.847262721
415.7928302,2.618876996,2.535581621,2.847262721
420.2795338,2.623538242,2.535581621,2.847262721
423.9950908,2.627360828,2.535581621,2.847262721
428.7885879,2.632243218,2.535581621,2.847262721
433.9636075,2.637453311,2.535581621,2.847262721
434.5018357,2.637991616,2.535581621,2.847262721
430.6276235,2.634101885,2.535581621,2.847262721
433.7917863,2.637281325,2.535581621,2.847262721
437.8279229,2.641303456,2.535581621,2.847262721
442.7048005,2.646114231,2.535581621,2.847262721
442.7160383,2.646125255,2.535581621,2.847262721
444.2746036,2.647651488,2.535581621,2.847262721
441.792139,2.645217984,2.535581621,2.847262721
445.7248204,2.649066819,2.535581621,2.847262721
447.6324418,2.650921554,2.535581621,2.847262721
450.376531,2.653575751,2.535581621,2.847262721
454.0510793,2.657104712,2.535581621,2.847262721
459.2970552,2.662093661,2.535581621,2.847262721
464.8991794,2.66735878,2.535581621,2.847262721
469.8480688,2.671957446,2.535581621,2.847262721
473.958745,2.675740541,2.535581621,2.847262721
478.0776242,2.679498418,2.535581621,2.847262721
482.2948032,2.683312582,2.535581621,2.847262721
486.5650284,2.687140891,2.535581621,2.847262721
490.1582096,2.690336281,2.535581621,2.847262721
493.5779931,2.693355788,2.535581621,2.847262721
497.0068606,2.696362384,2.535581621,2.847262721
499.7172864,2.698724373,2.535581621,2.847262721
501.3051565,2.700102172,2.535581621,2.847262721
504.0811994,2.7025005,2.535581621,2.847262721
507.0327871,2.705036044,2.535581621,2.847262721
510.7948344,2.708246497,2.535581621,2.847262721
514.8326404,2.711666073,2.535581621,2.847262721
518.4334981,2.714693055,2.535581621,2.847262721
506.5908236,2.704657319,2.535581621,2.847262721
504.7633655,2.703087827,2.535581621,2.847262721
508.2644197,2.706089709,2.535581621,2.847262721
512.0934585,2.709349228,2.535581621,2.847262721
