Approach,Overall_NmKGE,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
NNSE,0.8260975667898646,0.8269182647210667,0.7719241933759284,0.798325796960854,0.4880406764228798,0.795658438391447,0.6925869769574391,0.7754639842007075,0.41924278490504885
NmKGE,0.8662894288921699,0.8643662223918792,0.7783957662487634,0.8568787754055519,0.39339045371781817,0.8509519957980912,0.7047809184558383,0.8152561302264704,0.37761735760798104
mean_NmKGE,0.8001942410130838,0.792162066920188,0.7681007515599292,0.7416079617781176,0.5341587760409763,0.7701529959419935,0.753051797770652,0.7153479238395635,0.45090671502977586
NnpKGE,0.815612988948454,0.8138746360920198,0.8059193614416258,0.7549832428305352,0.5884518814548529,0.7615553521102006,0.7079460139133413,0.7189996985318885,0.46462517490860844
split_NNSE,0.7961540625301313,0.800082136945588,0.7290058047011356,0.7820318682301515,0.42859716529659025,0.7682099312439941,0.6653935370886842,0.7554595309451831,0.4121288126189271
split_NmKGE,0.8456554604024489,0.8627811906866769,0.806095006889926,0.8410775592751201,0.4796032092049831,0.8186432354643638,0.7227166552818601,0.7949983042406483,0.42607813717671583
split_mean_NmKGE,0.8440278559927061,0.8635403710102953,0.8198730867863889,0.8230495810780453,0.467422241084786,0.8108059860100414,0.7389978674026265,0.7824595297386313,0.45391381714043166
split_NnpKGE,0.8257547787101395,0.8362848750356489,0.7900588065452352,0.8049418010521953,0.5783373392217718,0.8027725587626382,0.738056275529637,0.7844007018256856,0.4750142907437923
