Approach,Overall_NmKGE,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
NNSE,0.7184938195071687,0.7932398045551639,0.8389607197937514,0.7027309623390633,0.5113630708104826,0.6579516264003902,0.6993357181750938,0.6067374181228911,0.5382573198715002
NmKGE,0.8334386704544678,0.8725268566750843,0.8262764675072998,0.7977992255325662,0.564894988010798,0.8126152504701624,0.7546590555722024,0.7475219518895684,0.48343560088244775
mean_NmKGE,0.7813749075868421,0.7849715047078967,0.7045808210987686,0.7745084936311436,0.5579614832888774,0.7614939368033002,0.7294907477639383,0.7317948731156242,0.5249145991403663
NnpKGE,0.7920637686379214,0.804621772373101,0.7513648727009131,0.7770376175986923,0.5507437727199304,0.8129896585102689,0.7485892627180487,0.7811396681245895,0.5355425601043731
split_NNSE,0.7438056878734672,0.7820576018961154,0.6424409482593342,0.815914468678621,0.13661744920722174,0.6970991277404702,0.6391986291926347,0.6968884515195293,0.3832377597726189
split_NmKGE,0.7974710868664819,0.8012242270433694,0.6394306113852137,0.8314151684262509,0.44795038017320676,0.8038583195501037,0.619080413994571,0.7756259586730316,0.41085685614080464
split_mean_NmKGE,0.748701043526192,0.791891303017441,0.6952247981556798,0.7682340359090529,0.5159429510352079,0.6884192896017248,0.7203084411826056,0.6674272684067848,0.3413685624287967
split_NnpKGE,0.7806724734039867,0.8068796694059492,0.6980155728878709,0.7895705434051801,0.49517636705061757,0.7248838720149188,0.6732345275181754,0.6831988694506611,0.3848888159819855
