States,Baseline NmKGE,Model 1 (state-based NmKGE),Model 2 (state-based split_mean_NmKGE),Ensemble
Overall,0.8431046030869903,0.8454748722664716,0.6845609115914602,0.8293479362916245
Wet,0.8422378682915789,0.8433836960913291,0.6746914050880592,0.8243625382122279
Usual,0.7864910663451908,0.8190605403613568,0.7597342688643817,0.8306145988046956
Dry,0.4239236877326126,0.5023831569108664,0.8539958593753253,0.8452930253407637
