metric,KGE',NSE,NNSE,NmKGE,RMSE,mean_NmKGE,NnpKGE,split_NNSE,split_NmKGE,split_RMSE,split_mean_NmKGE,split_NnpKGE
NmKGE,0.8454748722664716,0.7036014243461952,0.7713677095762591,0.8661569817567506,103.24702911002046,0.721079456907386,0.9485204542449943,0.729941737887046,0.8078099190908478,93.32939160406093,0.7362399337186286,0.8809970205477873
NnpKGE,0.8205197506915001,0.6665269889586904,0.7499214395191243,0.8478310684611083,109.51405328746836,0.5700657492189782,0.9129503744451974,0.6928653062921776,0.7733061984005557,100.92753042025276,0.6979706849699944,0.8554340951317838
split_RMSE,0.8077299220723217,0.7537221119494166,0.802389266140468,0.8387361374849993,94.11356355626376,0.7387267555464041,0.9662118152399684,0.7668224025771695,0.7929313631782874,84.73867828149376,0.7475147275300675,0.8825724867773547
split_NNSE,0.7909877534593414,0.6957673613939708,0.7667343772877862,0.8271214810778763,104.60258320634195,0.6851093706135274,0.9153320822778045,0.7195933221579518,0.787857867788676,94.40269630368593,0.7624818973770078,0.8543526265382636
split_NmKGE,0.7844199284144127,0.635443243870209,0.7328387005581496,0.8226525124713607,114.50437571886712,0.6902120840013296,0.8720732870108471,0.6642120705319845,0.7681980468053207,105.4825211072913,0.6772614804501739,0.8229922094840599
RMSE,0.7594037524725186,0.7618968189579138,0.8076871260102251,0.8060640212260904,92.53842562945674,0.7281315955105128,0.905191536825902,0.7670811901779984,0.7693976783595698,84.05511186084274,0.7418434092407966,0.8634880708717261
split_NnpKGE,0.7396215311677421,0.4445784857704974,0.642912542260522,0.7934124746882586,141.3353688927649,0.6654435108133803,0.9495294324177477,0.5731916617311632,0.7305047820917305,129.88481365422587,0.655376310251115,0.8666140263187139
NNSE,0.7172438890989681,0.7446983966480685,0.7966213038601878,0.779571417747978,95.82223114717922,0.6928271039290321,0.8803902030014794,0.7474350909125559,0.7453693656731388,87.23453965205078,0.7016365981386807,0.831147368142587
split_mean_NmKGE,0.6845609115914602,0.4628927629265277,0.6505726964788215,0.7602024364425964,138.9856651364443,0.6575108743277518,0.7957460595614265,0.566293892858092,0.7057047277968486,130.2846713113033,0.7320326239275937,0.7566390300163783
mean_NmKGE,0.13865074244029396,-1.2355890241555194,0.30906273711971116,0.5372446873893161,283.5538132505329,0.6311804895074612,0.5720555810715933,0.2422988938455754,0.5046091529274308,275.062941654903,0.5360255660754809,0.5518241971581402
