metric,KGE',NSE,NNSE,NmKGE,RMSE,mean_NmKGE,NnpKGE,split_NNSE,split_NmKGE,split_RMSE,split_mean_NmKGE,split_NnpKGE
NmKGE,0.8045489082749948,0.6238252315241477,0.7266518925554236,0.8365043178445934,76.97461732770215,0.8126227674616686,0.9348751570055746,0.6603761735449057,0.7694475411620352,70.83676776188214,0.7258792456614926,0.8634074574473537
split_NmKGE,0.7675791483984004,0.5650760052101254,0.6969010230722614,0.8114111333806501,109.72715851979032,0.7568598815782266,0.8588966044947065,0.6237105247471708,0.7497972692596897,99.04507270293257,0.6898825071687089,0.8109479219481607
split_mean_NmKGE,0.7597342688643817,0.48413220233755294,0.65968813477142,0.8062788279124466,135.45947277653272,0.8263756515845966,0.9080407712841292,0.65968813477142,0.8062788279124466,135.45947277653272,0.8263756515845966,0.9080407712841292
split_NNSE,0.7574272371438738,0.6327282406868107,0.7313834965057144,0.8047818444864681,105.95588018304004,0.7373602669270762,0.9094573449341908,0.7164973387881645,0.7741569071013324,94.61058624932636,0.7576558246541448,0.8388900673197573
NnpKGE,0.7572700365550644,0.48495960643732505,0.6600484081143619,0.8046800426602164,75.82542728259979,0.5068161086397083,0.917160595117765,0.6029124924616114,0.7357131554868684,67.75783316317586,0.6153697885305942,0.8369712230996267
NNSE,0.5592272514086903,0.64480817755823,0.7379029178306366,0.6940719839251072,74.30377815224854,0.6932361432768106,0.8023353903239158,0.6174447370073627,0.6721418532241948,69.42177928904971,0.6742658889808,0.7503413452650677
split_NnpKGE,0.5498786756352942,-0.0407839069531819,0.49000778406419543,0.6895974724308652,134.98812495002144,0.6641959311321721,0.9412559004043796,0.4177611371619816,0.6141188529952541,126.43403493040384,0.6008883736361121,0.8399863224168512
split_RMSE,0.49956938680207097,0.5812110587875585,0.7048264692177817,0.6664753379489233,50.83177968268956,0.6410846893612345,0.8081944418573542,0.7017286274273378,0.6782873449028518,44.4858399689475,0.665542619042455,0.7858324183424497
RMSE,0.49596250244182083,0.576922562625338,0.7027024487471543,0.6648770403819789,52.88387350062697,0.6306223567012815,0.8070231767919779,0.6646213842908143,0.6373085882153233,55.150421611485164,0.6369151165917661,0.7367441962396211
mean_NmKGE,-0.05437770998483438,-3.1220178348951286,0.19523555603169324,0.4867654059619748,286.2415810158107,0.6067873743407421,0.5043461349122967,0.16379070910512844,0.4472614167904765,265.999795138837,0.49779163208721794,0.5001768617409988
