metric,KGE',NSE,NNSE,NmKGE,RMSE,mean_NmKGE,NnpKGE,split_NNSE,split_NmKGE,split_RMSE,split_mean_NmKGE,split_NnpKGE
NmKGE,0.8431046030869903,0.725856540085386,0.7848409786343953,0.864382382943471,99.29524518413615,0.44341337047996476,0.9211231026807869,0.74533562770439,0.8058384479259549,89.55469880608315,0.6224505652038,0.866500490005488
split_mean_NmKGE,0.8419768453536056,0.7322104893768784,0.7887744705416418,0.8635405915569562,98.137793341751,0.7102428133304354,0.9753992573293397,0.7458916931457003,0.809304314172268,88.68993166899857,0.7942794033001044,0.8776600128893121
split_NmKGE,0.84095609794067,0.749797502116399,0.7998704223458559,0.862780088159949,94.86048227214366,0.4966173951377381,0.9826586901167877,0.7689458583355766,0.8221807900352344,84.41804758012209,0.6967054939504305,0.8827866992103142
split_NnpKGE,0.804234056607591,0.676133594478249,0.7553632268551209,0.8362840617144375,107.92509965079431,0.5599754408345403,0.9644007475374491,0.7025826052701993,0.7935219668664059,98.31570773452103,0.6986630694023158,0.8762019258450185
NNSE,0.7907001916893989,0.7528689491928493,0.8018403513831157,0.8269247982408975,94.27643804084683,0.5883206930567073,0.9412753428762325,0.7761975225214,0.804663301928679,83.18298499014968,0.7450371439762073,0.8737267902844001
RMSE,0.7893498648496499,0.7526251668374412,0.8016836426502436,0.8260024683975361,94.32292606201439,0.6053858108918649,0.9393416444406651,0.7756102043924565,0.8038813008974327,83.2532266526788,0.7491135786396728,0.8729868763926382
split_RMSE,0.7770071112529896,0.7511047191627491,0.8007076456639397,0.8176662425441634,94.61235199175935,0.5379169461991669,0.9552145289490199,0.7837866553764059,0.802663198881726,82.16004637407939,0.7193549876586746,0.8746890265486726
NnpKGE,0.7713706014601125,0.6792466397917456,0.7571436349344752,0.8139150839043959,107.40515225266813,0.7361222358109138,0.9173058165130132,0.6963828056612581,0.7577564170072602,98.92270706632222,0.7283726163048966,0.8506164790623062
split_NNSE,0.7501401264425945,0.7409690041603454,0.7942616212820833,0.8000896909777226,96.51956930491689,0.5199978632293375,0.9528827955276394,0.7849760549339486,0.7909483745819107,82.7105503862829,0.7100229235518006,0.872129909775105
mean_NmKGE,0.7373948802191297,0.573579586664563,0.7010555868740501,0.7920132623678523,123.83930359537491,0.8186525586736847,0.8768531893537563,0.5999299069867605,0.7320581997511673,118.72085849952057,0.7235318074423505,0.8174405416035339
