Approach,Overall_A2k,Mean_A2k,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
"(""NNSE"", ""NNSE"")",137.2255243244114,12.20469052496803,15.133068823540729,3.156698461104768,23.82935958269758,9.628013531101741,79.78152628163825,7.83777368461452,90.53299404196127,83.11169309929306
"(""NNSE"", ""NmKGE"")",14.099802107827081,22.780173410526533,14.441567088202037,2.9028832307805277,27.655709919034802,37.78192708176428,11.126390749085198,7.59458220122986,8.880011299726895,107.35910487017583
"(""NNSE"", ""mean_NmKGE"")",79.15926828203547,24.440856380827082,19.488403923883997,8.298824034198486,34.73501073484245,30.28873437344031,66.68123101623043,10.133654697790647,82.15605156156647,139.6976439052014
"(""NNSE"", ""NnpKGE"")",15.55954130940873,20.010619674016443,20.262389840910085,8.765455287533102,31.896237679692817,19.370166054823418,12.932234936946047,9.445051216554464,8.736725686675703,68.91734697077736
"(""NNSE"", ""split_NNSE"")",33.20661887226315,36.823223776990865,20.71885082816733,6.680301751558047,31.123130009816933,72.66623956959762,63.31609998963399,10.081127082448043,48.50117471022541,74.63343811055356
"(""NNSE"", ""split_NmKGE"")",417.28271665718734,128.20742559276218,151.56560735176984,68.23540219562709,193.70095988031517,122.68591470234429,382.76370022124195,34.02688377097024,347.13445603363095,481.0933812796667
"(""NNSE"", ""split_mean_NmKGE"")",147.11871335406641,19.028095830319902,15.974623743817782,4.473974158500655,33.30426102030732,19.306052312151728,168.45017189569288,4.606563930211836,175.96659783369935,72.10383214295135
"(""NNSE"", ""split_NnpKGE"")",14.204105919307853,30.5132402141265,7.01056804880625,25.03987694679665,4.226898492239151,62.2729452033437,8.630119421880858,6.028697440063045,10.95307888560679,23.37036210221412
"(""NmKGE"", ""NNSE"")",488.3531617883777,52.40671959487343,87.37608181713419,13.327247860599542,125.30361287767029,18.589298046350457,305.05619746627144,12.908370712925791,330.0884464485688,100.12714561689207
"(""NmKGE"", ""NmKGE"")",165.58416513685796,24.036985431827343,19.662035264174843,12.00090116548444,25.525497840054097,34.58455728994348,117.31679400863153,13.344687176614764,113.05369106945035,115.7504574833407
"(""NmKGE"", ""mean_NmKGE"")",64.06050493316012,27.884610302011932,19.834507794928204,10.232669047989313,29.53937101049369,43.88179084755279,51.97136609834159,11.484344746413496,53.89868205169098,178.89577219663087
"(""NmKGE"", ""NnpKGE"")",330.58801209435126,36.03768687153848,51.8354235692513,27.825257935054616,69.90832046667046,10.379482212890368,199.98378621670045,16.721639251501404,194.18964880766902,76.26670757175907
"(""NmKGE"", ""split_NNSE"")",239.88466154211642,73.88861946459825,68.19852361290907,25.528920112367402,79.94935836307106,116.18757991835628,112.46107790480697,16.721639251501404,180.05748348760548,88.33903208244418
"(""NmKGE"", ""split_NmKGE"")",450.27036090703433,135.759478563962,157.65496214869654,72.91421757936583,192.53369717486686,141.83052093765338,409.01891432705696,32.65232854015476,359.5511963317873,500.32206928304106
"(""NmKGE"", ""split_mean_NmKGE"")",244.7249790639159,43.640836067720635,57.30681269358401,25.299998225801726,72.5373963445829,33.085113632777265,129.16191811323768,16.721639251501404,184.82579731461573,32.134214477063665
"(""NmKGE"", ""split_NnpKGE"")",35.4926029991649,53.20231520476386,11.06931718307234,34.26410322168964,5.596677069738518,119.74616532286342,31.38068076723883,6.028697440063045,32.91083764639901,68.1396960979771
"(""mean_NmKGE"", ""NNSE"")",1702.4171214813293,202.06204005244638,424.85977401495774,7.526638018476692,573.8194326731085,24.840049465753985,1238.5527066352013,6.698278690446228,1281.7950696922119,65.10869772672078
"(""mean_NmKGE"", ""NmKGE"")",24.93743084735201,22.268411365661876,16.622233637393187,4.444380455141185,29.8615927481601,32.49926089368434,21.681279970955362,5.8529954245803895,21.90552609710017,105.15945073061236
"(""mean_NmKGE"", ""mean_NmKGE"")",64.37585661726088,30.33238876814522,48.916461801888,1.9773735838251099,81.48436746598817,7.535425254622363,41.86012517305867,6.752679000600041,68.27605679729353,13.964081947295199
"(""mean_NmKGE"", ""NnpKGE"")",12.120416732090549,32.48479154292415,44.67628953905724,13.02718431995982,63.61336818820651,20.813822120606126,9.42631536392805,6.01083944775734,12.19655227540255,14.58752505012016
"(""mean_NmKGE"", ""split_NNSE"")",36.12262885085366,17.459105241623142,20.05098596600872,19.31035813312481,26.987197344429962,6.07976024731465,68.53798450435998,11.115663281721686,52.51397904946037,132.43248161430594
"(""mean_NmKGE"", ""split_NmKGE"")",169.6228941316258,46.19463908271177,61.14556286467705,42.941550963492475,79.42147003601372,16.220896248629103,172.4549778867664,26.670708808171376,174.1163225508788,149.29527944518262
"(""mean_NmKGE"", ""split_mean_NmKGE"")",145.25812133995836,26.559072539954183,35.59069103895268,5.527443955328302,58.08590247714931,16.063871187384926,173.95482479374826,5.059768083995424,171.75086778805357,165.38833864019335
"(""mean_NmKGE"", ""split_NnpKGE"")",48.95721763028498,10.674237355833574,8.086778491637924,8.723658858575728,13.362697751867637,9.936355457057353,69.37939372359611,6.23550281217639,50.39607189121082,129.9960598489149
"(""NnpKGE"", ""NNSE"")",367.1374874259104,11.909413554794627,8.421773643568384,9.502806956839528,14.38129471909261,11.844138988451748,384.1096612079886,5.169063422242681,432.7833063187028,65.41032558923384
"(""NnpKGE"", ""NmKGE"")",15.793572285321925,25.844241632024097,22.170071724006654,5.259035049677733,42.64781417758522,29.62587566880935,19.64756287577615,4.168631667500098,15.184333064601406,103.456621279366
