Approach,Overall_A2k,Mean_A2k,Overall_calib,Wet_calib,Mid_calib,Dry_calib,Overall_valid,Wet_valid,Mid_valid,Dry_valid
"(""NNSE"", ""NmKGE"")",40.09929590826875,28.788586925507996,19.24221307564099,6.680301751558047,30.78156432956289,48.90389469540305,31.742294865083228,10.081127082448043,11.311693218875519,325.14495846093155
"(""NNSE"", ""mean_NmKGE"")",19.54440337724429,24.682433735358305,35.91451089947857,8.618753450426556,59.053326289216386,6.375221466431986,15.479591880726739,8.291053789997996,14.906351915196288,96.45140250028115
"(""NNSE"", ""NnpKGE"")",35.20833743764575,27.35222703199374,22.270739198807764,4.937575918505009,38.40710610570521,38.711999071771,29.990321308135584,9.088304210114847,8.370926113394857,316.0177286090026
"(""NNSE"", ""split_NNSE"")",40.09930217219048,28.788616531518993,19.242264325866618,6.680301751558047,30.781653147595875,48.90389469540305,31.742292414817133,10.081127082448043,11.311689166644031,325.14495846093155
"(""NNSE"", ""split_NmKGE"")",77.21940657736981,30.435371774912753,6.776481135566264,6.205908458953692,8.77731481477873,76.32289205100584,47.66305636306991,9.689977274888967,16.891965100020037,397.02153664102667
"(""NNSE"", ""split_mean_NmKGE"")",22.045273332861694,22.84492003470072,24.13970529958498,1.210869569948951,46.21104938224291,21.112841151910306,16.300799495283776,7.113607325211249,33.38271862818763,33.60757108652362
"(""NNSE"", ""split_NnpKGE"")",37.24799900446851,19.650271744847533,7.1526400662579555,16.458595227722373,21.723591436423757,20.768628570396473,29.49511359231033,9.113241407655412,15.267580679811358,213.1841723358287
"(""NmKGE"", ""NNSE"")",40.09931506899671,28.788632022265517,19.24229093294485,6.680301751558047,30.78169961983546,48.90389469540305,31.74227800860931,10.081127082448043,11.311668728887309,325.14495846093155
"(""NmKGE"", ""mean_NmKGE"")",26.4670459664461,23.28322016221632,29.49334204566855,14.254376388407216,42.17512046864482,13.420163629596924,17.21258934523965,9.292489010962653,14.408799077136791,18.33249612559702
"(""NmKGE"", ""NnpKGE"")",124.18843003294378,18.591261395682398,20.995390746494397,5.576444563910951,43.346140157607806,6.851199465528435,225.11439997224534,4.034018804690998,198.17096371600726,267.82194790701175
"(""NmKGE"", ""split_NNSE"")",62.41848648150891,36.461296673702115,15.709439590764985,4.100292476275419,22.44708228857803,82.83651525625288,46.1658469498622,8.906849665305566,18.81006865038071,397.614003210968
"(""NmKGE"", ""split_NmKGE"")",77.31802369257959,30.45758035684457,6.79004677278229,6.193658213752714,8.790761290376322,76.38832156640467,47.729455159608854,9.694624130948723,16.942664514841322,397.19641337066145
"(""NmKGE"", ""split_mean_NmKGE"")",10.07468684057212,14.173927013728493,6.8398508817530415,2.0912265398528795,14.246741080666828,26.183813420665775,7.423502751004346,8.328695820221723,4.132750986580053,87.05551200337773
"(""NmKGE"", ""split_NnpKGE"")",37.24799367640644,19.650271744847533,7.1526400662579555,16.458595227722373,21.723591436423757,20.768628570396473,29.49511359231033,9.113241407655412,15.267580679811358,213.1841723358287
"(""mean_NmKGE"", ""NNSE"")",18.728748154423535,25.124687580709047,38.04250625526951,8.989738585238516,61.846842283668444,4.5374818732201705,14.339716707981314,8.081751510014621,15.671492124042876,71.51288375385705
"(""mean_NmKGE"", ""NmKGE"")",221.27585214771796,43.9932076127875,36.69520850275858,20.344532906325682,42.6355926565519,68.99949727548493,152.55195184926328,14.096112651883795,114.81055209200248,361.742184991743
"(""mean_NmKGE"", ""NnpKGE"")",13.411545938169501,51.233308194855105,76.34342084922,1.0932535510412897,129.6416648280829,22.965006205441107,45.355424966401976,1.6051281881649049,39.11612033870486,47.89934858494835
"(""mean_NmKGE"", ""split_NNSE"")",20.335068863860375,22.199338371570047,28.18072835244533,6.299741986940439,46.970844460890945,13.32742866687876,18.13043110148703,7.072909032348851,13.817858545909747,131.24647177300307
"(""mean_NmKGE"", ""split_NmKGE"")",27.69162048611816,18.350562596153235,5.459575924976216,2.3761954800837413,10.589112318596563,42.086379989779395,22.96512884038803,8.086586290244727,4.536275643630358,262.00386744933246
"(""mean_NmKGE"", ""split_mean_NmKGE"")",46.30028790204938,36.45708428764734,38.06266943909407,1.6942205272898894,65.5919176739179,42.08511466173422,31.385165787671482,5.7748077424098145,57.13394803915427,14.525870468658836
